"Time","sensor.euler_x","sensor.euler_y","sensor.euler_z","sensor.linearAccel_x","sensor.linearAccel_y","sensor.linearAccel_z","sensor.vAcc","sensor.hAcc","sensor.sAcc","sensor.headAcc","sensor.lon","sensor.lat","sensor.hMSL","sensor.velN","sensor.velE","sensor.velD","sensor.gSpeed","sensor.headMot","sensor.FL","sensor.FR","sensor.RL"
1659195630000,-2.219676521055555,-5.743853198166667,330.12759737777776,0.0745230376111111,0.04191326044444445,0.00023332516666666665,,,,,,,,,,,,,,,
1659195635000,-2.06388381,-5.86766567224,330.06950439600007,0.07635803000000001,0.04389165135999999,0.00035452037510603997,,,,,,,,,,,,,,,
1659195640000,-2.1055327558400005,-5.877421855920001,330.203005368,0.07596986707999999,0.043604577760000006,-0.00020734396000000006,,,,,,,,,,,,,,,
1659195645000,-2.1566752147599995,-5.80917938228,330.550861812,0.07673145136000001,0.04316969684,0.00035108891999999995,,,,,,,,,,,,,,,
1659195650000,-2.2433945466,-5.889077739720001,330.380422364,0.07677955295999998,0.0414917962,-0.000015387520000000003,,,,,,,,,,,,,,,
1659195655000,-2.1252218532400002,-5.9101081658,329.921550292,0.07663706304,0.043399060159999996,-0.00005297292000000002,,,,,,,,,,,,,,,
1659195660000,-2.07612478256,-5.83394996636,329.649364024,0.07610149439999998,0.044252114520000004,-0.0002467129599999999,,,,,,,,,,,,,,,
1659195665000,-1.9627397871199996,-5.9024531173599994,329.36962767999995,0.07665703455999999,0.045302870120000005,0.000029329399999999984,,,,,,,,,,,,,,,
1659195670000,-1.9228410720000002,-5.9471691132,329.317124032,0.07611155180000001,0.04579905584,-0.00003103992000000001,,,,,,,,,,,,,,,
1659195675000,-1.8727493000800002,-5.908598422919999,329.15862181999995,0.076770018,0.04658853592,-0.00011368827999999994,,,,,,,,,,,,,,,
1659195680000,-1.8585482359999999,-5.83782712932,329.55863037599994,0.07571917803999999,0.046897709919999996,0.0006909348399999999,,,,,,,,,,,,,,,
1659195685000,-2.04728729248,-5.820368347040001,329.60614745999993,0.07618432632000001,0.044089795759999995,0.00026857436,,,,,,,,,,,,,,,
1659195690000,-1.9464172220400002,-5.85177333832,330.055383304,0.07597280503999998,0.04526058704,-0.00045721579367752,17914541.466666665,25334988.266666666,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195695000,-2.1080896472800004,-5.884368496,330.62429443599996,0.0763988498,0.042557036000000006,0.00008459564000000002,17915029.36,25335677.68,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195700000,-2.26249947548,-5.86561740868,331.187076424,0.07640661744,0.04178280596,-0.000024932239999999998,17916121.68,25337223.12,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195705000,-2.2851200199999995,-5.88265731808,331.52233153599997,0.07742296484,0.04149233312000001,-0.00039535896000000007,17917772.48,25339557.6,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195710000,-2.36059163092,-5.835909881719999,332.254532472,0.07687672763999999,0.03987505392,-0.00015527447965824,17919981.52,25342681.44,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195715000,-2.43069530484,-6.036827697719998,332.252319328,0.07914339928,0.03982605668,-0.0003538326,17922747.76,25346593.28,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195720000,-2.3755651568800005,-6.1505304908,331.799482428,0.07934244396,0.040096756,-0.00068595648,17926078,25351302.96,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195725000,-2.2476473617999995,-6.04079063416,331.576693112,0.078383829,0.0422710792,0.00001173275999999993,17929960,25356793.12,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195730000,-2.22826109892,-5.9802102470400005,331.364754632,0.07758386104000001,0.04244835744,-0.00015120036000000004,17934398.88,25363070.88,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195735000,-2.2721932887999996,-5.893765029920001,330.84010865199997,0.0764202714,0.04199794335999999,-0.00019585419999999999,17939394.16,25370134.88,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195740000,-2.19444547656,-5.79903676992,330.38317626799994,0.07606439892,0.04264455312,0.00014962756,17944945.36,25377985.52,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195745000,-2.0719594573200006,-5.78068199156,330.0500805639999,0.07612256056,0.044033278280000004,0.00027787951999999996,17951051.92,25386621.6,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195750000,-2.0161840486800005,-5.7834185409600005,330.144229744,0.07423767900000001,0.04458606868000001,0.00037404516000000005,17957713.04,25396042.08,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195755000,-2.06604318624,-5.84583911908,330.083690192,0.0757900356,0.044206574400000004,0.00014051224,17964928.72,25406246.32,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195760000,-2.0440373134799996,-5.895226116200002,330.3000012199999,0.07647496279999999,0.044145169080000005,0.00030389043999999994,17972697.2,25417232.48,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195765000,-2.0812610244400007,-5.849965934799999,330.924874268,0.0748944038,0.04366370012,0.00031298803999999994,17981018.4,25429000.88,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
1659195770000,-2.70509888644,-6.27098472592,335.18148070800004,0.08388146996000001,0.03495006868,-0.0014858859200000002,17989892.24,25441550.24,20000,18000000,106508060,456731916,110354,0,0,0,0,0,,,
